"product_id";"product_name";"category";"subcategory";"price";"cost";"supplier_id";"stock_quantity"
43;"Product_43";"Food";"Standard";27.58;15.317527579825397;46;488
44;"Product_44";"Clothing";"Standard";46.23;29.360217961647283;22;424
45;"Product_45";"Toys";"Budget";206.86;130.58345312640205;18;243
46;"Product_46";"Jewelry";"Standard";32.13;19.836158263535438;21;220
47;"Product_47";"Jewelry";"Standard";10.35;5.542101769034239;50;155
48;"Product_48";"Toys";"Premium";214.66;146.5231109640229;14;382
49;"Product_49";"Home";"Standard";49.52;36.17899390295307;10;235
50;"Product_50";"Electronics";"Budget";63.53;34.21152165972391;33;319
51;"Product_51";"Beauty";"Standard";69.12;30.01288161391153;9;372
52;"Product_52";"Jewelry";"Premium";198.57;102.96491918372399;18;18
53;"Product_53";"Sports";"Premium";51.23;23.30695846954891;13;214
54;"Product_54";"Jewelry";"Standard";232.82;136.6521835492129;17;366
55;"Product_55";"Sports";"Budget";105.96;48.99315545338066;23;113
56;"Product_56";"Food";"Budget";84.93;49.69576210715681;25;199
57;"Product_57";"Sports";"Budget";49.4;24.12701715233504;16;24
58;"Product_58";"Sports";"Standard";37.93;26.38002833207558;24;421
59;"Product_59";"Electronics";"Standard";107.83;44.32107336373169;31;120
60;"Product_60";"Clothing";"Standard";69.22;43.04781566049836;11;229
61;"Product_61";"Sports";"Standard";251.37;117.58970706666187;23;98
62;"Product_62";"Beauty";"Standard";77.66;31.094811277884496;41;345
63;"Product_63";"Home";"Standard";81.7;61.0854588779579;39;2
64;"Product_64";"Electronics";"Standard";63.91;42.73093636767882;22;385
65;"Product_65";"Clothing";"Premium";165.71;72.8423260167969;33;260
66;"Product_66";"Home";"Standard";65.31;43.472226533373046;41;444
67;"Product_67";"Furniture";"Budget";41.38;26.675986651472734;42;253
68;"Product_68";"Food";"Budget";208.07;122.62453034923175;48;19
69;"Product_69";"Books";"Standard";100.84;57.24719465809558;18;203
70;"Product_70";"Food";"Premium";99.53;75.12802140120125;14;293
71;"Product_71";"Furniture";"Budget";104.37;51.9824395346788;28;463
72;"Product_72";"Home";"Standard";136.88;76.56027224159676;11;356
73;"Product_73";"Toys";"Standard";47.55;25.279775153259614;24;127
74;"Product_74";"Food";"Standard";13.44;9.521976732100942;36;357
75;"Product_75";"Jewelry";"Standard";176.39;135.21812614654306;19;291
76;"Product_76";"Beauty";"Standard";23.8;17.609921772006995;13;173
77;"Product_77";"Furniture";"Budget";137.95;99.19730287394123;33;220
78;"Product_78";"Beauty";"Premium";18.59;14.773770035259137;19;354
79;"Product_79";"Electronics";"Premium";57.05;38.72883864036499;47;368
80;"Product_80";"Furniture";"Premium";16.51;11.563959237174178;32;36
81;"Product_81";"Sports";"Standard";83.86;66.51112839186516;15;309
82;"Product_82";"Toys";"Premium";115.88;46.676036884822516;11;148
83;"Product_83";"Clothing";"Standard";28.81;18.83077349005267;23;404
84;"Product_84";"Clothing";"Premium";56.46;39.27293307763309;5;91
85;"Product_85";"Books";"Standard";276.27;211.9352320566001;22;69
86;"Product_86";"Books";"Standard";68.41;51.54951553970035;42;83
87;"Product_87";"Sports";"Premium";172.22;126.88898740883363;18;443
88;"Product_88";"Beauty";"Standard";271.98;211.68652405708187;7;419
89;"Product_89";"Electronics";"Standard";376.3;231.4063153647713;33;204
90;"Product_90";"Jewelry";"Premium";238.59;96.09642624223353;3;487
91;"Product_91";"Books";"Standard";48.19;19.489084589283554;28;266
92;"Product_92";"Furniture";"Budget";338.54;209.1688423555479;1;87
93;"Product_93";"Food";"Budget";177.34;101.81247153605254;49;251
94;"Product_94";"Home";"Premium";191.51;111.17117606800682;47;210
95;"Product_95";"Toys";"Standard";11.53;6.458666648012691;37;342
96;"Product_96";"Furniture";"Standard";318.43;244.26457175556888;22;30
97;"Product_97";"Food";"Premium";160.55;87.28591995212392;48;356
98;"Product_98";"Beauty";"Standard";156.09;115.89538533591987;44;420
99;"Product_99";"Beauty";"Standard";18.5;14.081199474058144;19;315
100;"Product_100";"Electronics";"Standard";36.47;21.874731820744753;14;60
101;"Product_101";"Sports";"Standard";337.71;195.4581778394256;3;66
102;"Product_102";"Beauty";"Standard";79.45;55.96523480196691;19;225
103;"Product_103";"Clothing";"Standard";60.73;41.49004386358802;33;412
104;"Product_104";"Toys";"Standard";193.22;102.67982209148758;21;450
105;"Product_105";"Clothing";"Standard";19.14;8.441108452079096;1;334
106;"Product_106";"Home";"Standard";63.95;32.35492439666785;26;326
107;"Product_107";"Electronics";"Budget";57.11;25.83721518677616;10;66
108;"Product_108";"Home";"Standard";53.06;27.479397821084504;35;127
109;"Product_109";"Beauty";"Budget";46.77;23.60615784888559;13;110
110;"Product_110";"Sports";"Standard";33.58;21.997739845646336;6;490
111;"Product_111";"Books";"Standard";28.98;22.656517961847808;43;271
112;"Product_112";"Food";"Standard";112.28;75.71012250642669;6;300
113;"Product_113";"Food";"Standard";261.82;201.77413920778625;35;33
114;"Product_114";"Electronics";"Standard";81.1;57.8772504692579;16;211
115;"Product_115";"Furniture";"Budget";45.38;31.36443459583594;41;299
116;"Product_116";"Furniture";"Standard";27.34;15.464181378173102;8;372
117;"Product_117";"Clothing";"Standard";187.28;99.24300579850068;3;124
118;"Product_118";"Clothing";"Standard";365.76;270.11776470227795;5;102
119;"Product_119";"Food";"Budget";52.95;40.35622867343634;21;480
120;"Product_120";"Toys";"Standard";44.38;25.77381802729135;31;205
121;"Product_121";"Home";"Standard";102.0;41.169774406015094;14;119
122;"Product_122";"Clothing";"Premium";159.31;114.22724919775592;37;169
123;"Product_123";"Sports";"Standard";70.77;36.37772873608964;19;34
124;"Product_124";"Food";"Premium";109.44;44.20885117898072;37;381
125;"Product_125";"Toys";"Premium";136.07;98.24191728795238;20;330
126;"Product_126";"Home";"Standard";333.38;202.35021690711102;2;245
127;"Product_127";"Furniture";"Standard";28.04;18.90132373093227;7;339
128;"Product_128";"Food";"Standard";604.55;463.01029254915755;33;413
129;"Product_129";"Jewelry";"Budget";59.78;36.85254862626238;50;308
130;"Product_130";"Toys";"Premium";138.45;83.24688773942312;42;57
131;"Product_131";"Electronics";"Standard";94.96;49.02451001729244;6;411
132;"Product_132";"Clothing";"Standard";76.68;40.032905289942235;7;398
133;"Product_133";"Books";"Premium";129.76;93.24771939520274;44;421
134;"Product_134";"Clothing";"Standard";60.38;34.99695433939156;18;305
135;"Product_135";"Home";"Standard";23.48;10.927838151247467;43;140
136;"Product_136";"Food";"Standard";77.12;33.76402331188729;29;110
137;"Product_137";"Furniture";"Budget";83.8;49.372282317206846;19;162
138;"Product_138";"Toys";"Standard";32.55;19.07371440750285;25;110
139;"Product_139";"Books";"Budget";284.29;188.02466156440482;4;151
140;"Product_140";"Clothing";"Standard";35.81;21.0715705512214;13;375
141;"Product_141";"Beauty";"Premium";62.63;28.64635333997035;32;64
142;"Product_142";"Jewelry";"Standard";26.83;16.181740559657648;27;105
143;"Product_143";"Beauty";"Premium";86.74;66.15796515722953;34;215
144;"Product_144";"Jewelry";"Standard";46.76;21.68619216294445;28;90
145;"Product_145";"Furniture";"Standard";77.19;52.17286429482898;9;401
146;"Product_146";"Sports";"Standard";35.44;22.594548940151306;8;441
147;"Product_147";"Jewelry";"Premium";15.53;10.862214534333718;21;25
148;"Product_148";"Books";"Standard";161.06;74.12627201529924;46;156
149;"Product_149";"Jewelry";"Premium";112.47;87.34894089672689;30;71
150;"Product_150";"Toys";"Standard";51.66;33.49565026338057;29;43
151;"Product_151";"Clothing";"Standard";14.87;10.986379126986883;9;89
152;"Product_152";"Clothing";"Budget";210.67;105.0490587618061;13;132
153;"Product_153";"Furniture";"Premium";28.61;19.905841106270273;18;160
154;"Product_154";"Beauty";"Standard";276.99;197.3310779173809;38;231
155;"Product_155";"Beauty";"Standard";75.12;41.99013506468686;22;379
156;"Product_156";"Sports";"Budget";51.61;28.570335081325368;31;260
157;"Product_157";"Beauty";"Standard";145.39;96.41079958883748;35;382
158;"Product_158";"Furniture";"Premium";219.43;95.97057904345769;42;368
159;"Product_159";"Jewelry";"Standard";56.32;39.10014085610005;42;110
160;"Product_160";"Sports";"Standard";62.31;25.99290960223748;10;163
161;"Product_161";"Furniture";"Standard";66.77;31.79828576233502;9;76
162;"Product_162";"Electronics";"Budget";265.52;176.74538016909113;31;208
163;"Product_163";"Home";"Premium";127.95;56.21220528176671;44;12
164;"Product_164";"Beauty";"Budget";38.45;30.326931366913033;40;408
165;"Product_165";"Books";"Premium";30.46;22.7645394160838;24;57
166;"Product_166";"Clothing";"Budget";36.18;23.53584735459029;41;385
167;"Product_167";"Home";"Budget";40.59;29.53421685024757;49;343
168;"Product_168";"Beauty";"Standard";36.16;27.30195782279951;8;35
169;"Product_169";"Food";"Standard";117.44;59.16512811428574;50;24
170;"Product_170";"Furniture";"Premium";22.32;16.511546657211525;20;33
171;"Product_171";"Toys";"Premium";59.0;28.197133293847404;17;139
172;"Product_172";"Jewelry";"Premium";108.1;61.11291950179478;28;274
173;"Product_173";"Furniture";"Premium";44.37;27.65599193540014;6;369
174;"Product_174";"Books";"Standard";16.75;11.483069452596016;42;361
175;"Product_175";"Sports";"Standard";18.54;7.639528012230268;33;221
176;"Product_176";"Electronics";"Budget";23.46;12.110140329510527;28;36
177;"Product_177";"Furniture";"Standard";190.69;122.69140273509574;1;362
178;"Product_178";"Furniture";"Standard";117.25;63.66059105209367;41;128
179;"Product_179";"Furniture";"Standard";16.67;11.835867070937464;35;315
180;"Product_180";"Home";"Standard";59.61;39.38199413047768;24;322
181;"Product_181";"Jewelry";"Standard";42.65;21.058888800526933;6;432
182;"Product_182";"Jewelry";"Standard";96.28;44.132016862059935;7;217
183;"Product_183";"Jewelry";"Standard";83.98;54.7229466085762;9;334
184;"Product_184";"Food";"Standard";75.61;43.86793385910269;37;429
185;"Product_185";"Home";"Standard";47.76;22.33175531319959;16;247
186;"Product_186";"Toys";"Budget";24.83;13.173548607222124;34;110
187;"Product_187";"Sports";"Premium";145.63;75.90507918305431;35;303
188;"Product_188";"Food";"Standard";221.91;98.3622263927323;35;219
189;"Product_189";"Home";"Standard";298.51;184.7071245363453;20;195
190;"Product_190";"Electronics";"Standard";16.04;11.315569635182948;23;146
191;"Product_191";"Furniture";"Budget";144.67;91.16911792414466;42;343
192;"Product_192";"Jewelry";"Standard";139.65;102.01663564540051;35;39
193;"Product_193";"Furniture";"Standard";303.95;137.08978397045215;47;133
194;"Product_194";"Home";"Premium";39.16;22.487424140927317;46;463
195;"Product_195";"Clothing";"Budget";145.55;93.70014733497455;23;351
196;"Product_196";"Books";"Standard";15.62;10.471657752765037;4;477
197;"Product_197";"Food";"Premium";109.76;74.45180199721413;10;190
198;"Product_198";"Toys";"Standard";53.21;36.7993001503513;43;162
199;"Product_199";"Jewelry";"Standard";156.49;103.37290052422188;11;455
200;"Product_200";"Electronics";"Premium";209.0;91.47746823545654;40;60
201;"Product_201";"Food";"Budget";55.38;37.55441137024607;9;4
202;"Product_202";"Sports";"Standard";84.57;58.345947713363984;40;36
203;"Product_203";"Toys";"Standard";22.49;17.93334548926531;12;459
204;"Product_204";"Sports";"Standard";63.94;43.309437681068;17;216
205;"Product_205";"Jewelry";"Budget";54.75;36.94158566695892;32;224
206;"Product_206";"Sports";"Premium";30.23;18.317122304880407;23;486
207;"Product_207";"Home";"Standard";234.88;175.49509310738864;15;215
208;"Product_208";"Books";"Standard";26.03;20.791043541539583;28;138
209;"Product_209";"Sports";"Standard";110.99;78.9824760572852;38;105
210;"Product_210";"Clothing";"Standard";230.86;148.90473489290147;5;98
211;"Product_211";"Toys";"Premium";253.01;109.19454430478243;40;167
212;"Product_212";"Clothing";"Standard";167.62;115.77440530420807;18;448
213;"Product_213";"Books";"Budget";29.38;20.079015553975083;21;263
214;"Product_214";"Electronics";"Premium";180.06;127.88352027782652;15;86
215;"Product_215";"Books";"Budget";42.37;19.058964722594546;3;83
216;"Product_216";"Beauty";"Standard";265.62;175.7057706734025;46;223
217;"Product_217";"Food";"Standard";133.47;69.17610783756001;26;10
218;"Product_218";"Clothing";"Standard";163.84;115.36113620764813;15;326
219;"Product_219";"Home";"Premium";18.89;9.372265596661759;45;185
220;"Product_220";"Electronics";"Budget";97.41;65.61454516363048;20;349
221;"Product_221";"Beauty";"Standard";182.12;94.33764620188897;21;378
222;"Product_222";"Books";"Standard";207.75;83.84742573312853;26;431
223;"Product_223";"Jewelry";"Standard";12.9;8.428126825781174;41;230
224;"Product_224";"Food";"Standard";289.95;129.11694826477182;23;140
225;"Product_225";"Sports";"Budget";14.43;9.577430380933572;49;105
226;"Product_226";"Furniture";"Standard";105.33;81.12977727817449;25;252
227;"Product_227";"Toys";"Budget";128.22;100.99868547381841;4;443
228;"Product_228";"Jewelry";"Standard";21.36;10.559726858127123;10;48
229;"Product_229";"Clothing";"Premium";14.92;10.79762326261911;22;450
230;"Product_230";"Electronics";"Budget";163.67;88.61442593028492;3;262
231;"Product_231";"Electronics";"Standard";58.56;44.51630647204874;19;490
232;"Product_232";"Furniture";"Standard";21.33;15.250860999545818;31;204
233;"Product_233";"Electronics";"Budget";153.83;66.08055106864714;9;356
234;"Product_234";"Home";"Premium";199.16;112.09816148023943;29;408
235;"Product_235";"Clothing";"Standard";98.52;52.701020887389234;37;406
236;"Product_236";"Books";"Standard";27.58;19.694117020619192;46;50
237;"Product_237";"Electronics";"Standard";11.53;6.5042376975323695;7;174
238;"Product_238";"Electronics";"Budget";130.67;88.05006636853139;38;224
239;"Product_239";"Books";"Budget";89.88;57.610752308987514;24;260
240;"Product_240";"Books";"Standard";115.21;91.04533473089535;8;479
241;"Product_241";"Beauty";"Standard";177.76;137.78426156842204;34;221
242;"Product_242";"Food";"Budget";66.96;38.239503802761845;26;222
243;"Product_243";"Food";"Standard";23.3;16.063748932495514;28;268
244;"Product_244";"Food";"Standard";291.31;213.1760079910679;28;297
245;"Product_245";"Furniture";"Standard";88.8;67.4484219771834;46;380
246;"Product_246";"Electronics";"Budget";105.53;45.088083542532935;7;388
247;"Product_247";"Furniture";"Budget";280.92;146.31199051676433;3;406
248;"Product_248";"Jewelry";"Standard";278.21;146.92047987914097;22;317
249;"Product_249";"Food";"Budget";94.89;54.445830524501716;38;384
250;"Product_250";"Electronics";"Standard";45.33;21.20110845997198;46;73
251;"Product_251";"Beauty";"Standard";594.78;355.9653333106664;44;113
252;"Product_252";"Furniture";"Budget";124.2;82.6284877801873;18;218
253;"Product_253";"Books";"Premium";62.5;37.434098005417944;12;53
254;"Product_254";"Furniture";"Premium";92.06;61.341164937557004;31;199
255;"Product_255";"Electronics";"Standard";63.76;27.19852737788373;39;371
256;"Product_256";"Furniture";"Standard";229.2;171.9905185709354;5;130
257;"Product_257";"Toys";"Standard";75.87;58.846871841883235;44;338
258;"Product_258";"Books";"Standard";183.46;118.72851841152291;41;191
259;"Product_259";"Sports";"Budget";193.37;145.52183096256672;29;178
260;"Product_260";"Beauty";"Budget";183.92;83.23822055277569;43;385
261;"Product_261";"Jewelry";"Standard";138.08;99.27669875365477;36;304
262;"Product_262";"Books";"Standard";203.02;90.88378649552241;14;286
263;"Product_263";"Food";"Standard";58.98;33.21777738148989;44;239
264;"Product_264";"Home";"Standard";22.18;11.744918038601016;18;244
265;"Product_265";"Clothing";"Standard";194.8;123.5493150211778;7;329
266;"Product_266";"Electronics";"Standard";78.95;41.10182902286447;23;116
267;"Product_267";"Toys";"Standard";23.63;15.475888427613736;33;207
268;"Product_268";"Clothing";"Standard";22.25;12.169746873452425;45;484
269;"Product_269";"Food";"Standard";27.35;20.357046768473285;16;211
270;"Product_270";"Jewelry";"Standard";149.02;97.39254794781061;37;258
271;"Product_271";"Books";"Standard";134.08;65.17887828194381;25;379
272;"Product_272";"Furniture";"Standard";32.79;17.524673499320393;9;162
273;"Product_273";"Books";"Standard";197.68;146.07926442641494;28;225
274;"Product_274";"Books";"Standard";43.03;23.86408945678414;9;340
275;"Product_275";"Food";"Premium";167.5;102.89853739289823;12;419
276;"Product_276";"Food";"Standard";77.1;50.853369304769934;18;63
277;"Product_277";"Sports";"Standard";141.51;76.29141740516123;27;415
278;"Product_278";"Home";"Standard";58.03;30.035831977156285;26;245
279;"Product_279";"Clothing";"Standard";52.64;31.06296722931465;26;17
280;"Product_280";"Furniture";"Standard";194.11;94.32821819717253;10;33
281;"Product_281";"Furniture";"Budget";13.59;6.980968750492028;17;311
282;"Product_282";"Sports";"Standard";377.84;160.51829376266582;32;485
283;"Product_283";"Food";"Standard";114.46;59.700975115056515;24;322
284;"Product_284";"Beauty";"Budget";66.65;35.20997112907276;43;180
285;"Product_285";"Home";"Standard";108.9;85.4574527236499;48;450
286;"Product_286";"Sports";"Standard";23.1;14.689094347304735;8;346
287;"Product_287";"Furniture";"Premium";82.17;58.74768555856671;30;193
288;"Product_288";"Books";"Standard";430.61;180.05995952789388;26;191
289;"Product_289";"Home";"Standard";36.82;16.297072423464105;24;66
290;"Product_290";"Beauty";"Standard";138.11;100.24227986589307;27;208
291;"Product_291";"Food";"Standard";67.09;43.569575708171676;15;365
292;"Product_292";"Sports";"Budget";115.69;55.11388444527844;28;166
293;"Product_293";"Food";"Standard";32.93;18.50396508601082;11;245
294;"Product_294";"Sports";"Standard";73.58;45.28620901945912;39;244
295;"Product_295";"Furniture";"Standard";401.67;296.20910402785455;2;165
296;"Product_296";"Beauty";"Standard";31.73;13.458748998586522;9;295
297;"Product_297";"Sports";"Budget";111.18;71.00943365274534;50;402
298;"Product_298";"Furniture";"Standard";95.71;65.7350032220246;45;210
299;"Product_299";"Sports";"Premium";93.25;73.77536630006014;23;491
300;"Product_300";"Food";"Standard";105.48;76.24769802330385;33;132
